Employee_Name,EmpID,MarriedID,GenderID,DeptID,New PayRate (hour),PositionID,State,DOB,DateofHire,DateofTermination,TermReason,EmploymentStatus,ManagerID,RecruitmentSource,PerformanceScore,EmpSatisfaction,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,PerformanceScore_Norm,PerformanceScore_Scaled,EmpSatisfaction_Scaled,Tenure,Age,AgeGroup
" Bugali, Josephine      ",1408069635,0,0,5,24.0,19,MA,1969-10-30,2013-11-11,,N/A - still employed,Leave of Absence,20,Diversity Job Fair,Fully Meets,5,2394,18580,8205,14173,10941,1609,15872,5080,18627,7533,14752,14671,3,0.6666666666666666,1.0,10.843835616438357,54,50-59
" Gold, Shenice       ",1408069539,0,0,5,20.4,19,MA,1992-06-18,2013-11-11,,N/A - still employed,Active,19,Glassdoor,Fully Meets,5,12142,12878,5421,14980,19432,6275,16079,4931,8127,9464,11654,19169,3,0.6666666666666666,1.0,10.843835616438357,32,30-39
" Moran, Patrick     ",1408069503,0,1,5,26.0,20,MA,1976-12-03,2012-09-01,,N/A - still employed,Leave of Absence,18,Diversity Job Fair,Fully Meets,4,7229,16400,13475,5747,14801,12386,17192,13786,7977,6484,4872,5360,3,0.6666666666666666,0.75,12.038356164383561,47,40-49
" Dietrich, Jenna       ",1408069481,0,0,6,55.0,3,WA,1987-05-14,2012-02-20,,N/A - still employed,Active,17,Website Banner Ads,Poor,1,3023,18265,12559,11612,8060,11980,10085,4276,13627,8452,12629,10543,1,0.0,0.0,12.56986301369863,37,30-39
" Leach, Dallas     ",1408069409,0,0,5,22.8,19,MA,1979-01-17,2011-09-26,2013-08-19,return to school,Voluntarily Terminated,20,Monster.com,Fully Meets,3,1525,4046,14572,10987,3115,18855,18652,8438,5659,17610,1814,17984,3,0.6666666666666666,0.5,1.8986301369863015,45,40-49
" Clukey, Elijian     ",1407069280,1,1,5,24.75,19,MA,1980-08-26,2016-06-07,,N/A - Has not started yet,Future Start,12,Employee Referral,Exceeds,4,1144,15482,18975,7522,18975,11137,2273,4069,18315,4012,16737,15148,4,1.0,0.75,8.271232876712329,44,40-49
" Sutwell, Barbara     ",1407069061,0,0,5,16.8,19,MA,1968-08-15,2012-05-14,,N/A - still employed,Active,16,Glassdoor,Fully Meets,5,1186,8097,3337,5802,18380,5774,11404,9841,10358,5440,13425,15431,3,0.6666666666666666,1.0,12.33972602739726,56,50-59
" Roby, Lori      ",1407068885,1,0,3,39.55,9,MA,1981-10-11,2015-02-16,,N/A - still employed,Active,4,Employee Referral,Fully Meets,5,19745,6346,4008,18768,17972,2306,7080,4995,13236,1014,12611,16949,3,0.6666666666666666,1.0,9.578082191780823,42,40-49
" Murray, Thomas     ",1406068403,0,1,3,35.5,9,TX,1988-07-04,2014-10-11,,N/A - still employed,Active,4,Diversity Job Fair,Exceeds,4,17054,8334,2810,10203,7780,11640,8403,7798,6865,2898,12876,6812,4,1.0,0.75,9.92876712328767,36,30-39
" Tejeda, Lenora      ",1406068345,1,0,5,34.5,20,MA,1953-05-24,2011-05-16,2012-08-07,Another position,Voluntarily Terminated,16,Search Engine - Google Bing Yahoo,Fully Meets,3,12857,8664,9848,16653,9566,3287,19665,8559,4977,6425,16525,2335,3,0.6666666666666666,0.5,1.2301369863013698,71,
" Brill, Donna     ",1406068293,1,0,5,24.0,19,MA,1990-08-24,2012-02-04,2013-06-15,Another position,Voluntarily Terminated,14,Search Engine - Google Bing Yahoo,Fully Meets,4,14512,14146,2325,5341,6372,15026,12112,7878,2481,3790,14361,14261,3,0.6666666666666666,0.75,1.3616438356164384,34,30-39
" Harrell, Ludwick     ",1406068241,1,1,5,21.0,19,MA,1982-09-02,2012-05-14,,N/A - still employed,Active,16,Search Engine - Google Bing Yahoo,Fully Meets,3,12412,6135,9377,11845,14241,16458,4744,7519,9209,5397,15460,1819,3,0.6666666666666666,0.5,12.33972602739726,42,40-49
" McCarthy, Brigit     ",1406067957,0,0,5,31.2,20,MA,1987-05-21,2015-03-30,,N/A - still employed,Active,19,Newspager/Magazine,Fully Meets,5,12225,14825,10679,13329,14462,9723,18962,12726,18275,17923,15327,12905,3,0.6666666666666666,1.0,9.463013698630137,37,30-39
" Eaton, Marianne     ",1406067865,1,0,5,20.4,19,MA,1991-09-05,2011-04-04,2013-06-06,military,Voluntarily Terminated,20,Search Engine - Google Bing Yahoo,Fully Meets,3,1283,14525,16722,17791,7710,9471,9189,14251,11076,17290,13178,16812,3,0.6666666666666666,0.5,2.175342465753425,33,30-39
" Rivera, Haley       ",1405067642,1,0,5,26.4,19,MA,1973-01-12,2011-11-28,,N/A - still employed,Active,39,Search Engine - Google Bing Yahoo,Exceeds,5,6768,16369,19291,3921,10855,18861,13344,5588,5746,6287,6950,8057,4,1.0,1.0,12.8,51,50-59
" Linden, Mathew     ",1405067565,1,1,5,22.0,20,MA,1979-03-19,2013-08-07,,N/A - still employed,Leave of Absence,18,Information Session,Fully Meets,3,2868,6869,10757,9402,4198,1651,4548,18659,16638,5854,9257,15337,3,0.6666666666666666,0.5,11.106849315068493,45,40-49
" Tavares, Desiree       ",1405067501,1,0,5,18.0,19,MA,1975-04-03,2009-04-27,2013-01-04,Another position,Voluntarily Terminated,39,Diversity Job Fair,Fully Meets,5,7474,15822,17468,8837,16737,5635,5963,17312,14292,18517,4301,14682,3,0.6666666666666666,1.0,3.6931506849315068,49,40-49
" Rossetti, Bruno     ",1405067492,0,1,5,18.0,19,MA,1987-03-18,2011-04-04,2012-08-13,Another position,Voluntarily Terminated,20,Search Engine - Google Bing Yahoo,Fully Meets,5,8510,9868,8374,5964,9973,3458,3270,3493,2312,3040,3168,3807,3,0.6666666666666666,1.0,1.3616438356164384,37,30-39
" Sullivan, Kissy      ",1405067298,1,0,5,55.0,18,MA,1978-03-28,2009-08-01,,N/A - still employed,Active,2,Billboard,Fully Meets,4,16205,4189,12535,15879,18912,5460,3698,16581,8099,8951,13637,18897,3,0.6666666666666666,0.75,15.126027397260273,46,40-49
" Winthrop, Jordan       ",1405067188,0,1,5,29.0,20,MA,1958-11-07,2013-07-01,2016-02-21,retiring,Voluntarily Terminated,12,Professional Society,Exceeds,3,4009,4825,18219,12665,2953,18201,7489,15569,13311,13069,18207,9530,4,1.0,0.5,2.643835616438356,65,60-69
" Squatrito, Kristen     ",1405067138,0,0,5,25.2,19,MA,1973-03-26,2013-05-13,2015-06-29,unhappy,Voluntarily Terminated,14,MBTA ads,Exceeds,4,19462,15917,16956,15482,17871,16206,1703,1126,5604,6701,8344,19024,4,1.0,0.75,2.128767123287671,51,50-59
" Handschiegl, Joanne     ",1405067064,1,0,5,28.799999999999997,19,MA,1977-03-23,2011-11-28,,N/A - still employed,Active,22,Word of Mouth,Fully Meets,4,15991,6256,1050,5865,13079,12644,5092,17854,13667,12450,7266,3097,3,0.6666666666666666,0.75,12.8,47,40-49
" Osturnka, Adeel     ",1404066949,1,1,5,16.0,19,MA,1976-12-11,2013-09-30,,N/A - still employed,Active,18,On-campus Recruiting,Exceeds,3,7643,11582,9352,8446,12808,6690,3261,14056,10234,1102,2018,2953,4,1.0,0.5,10.95890410958904,47,40-49
" Theamstern, Sophia     ",1404066739,0,0,5,24.0,19,MA,1965-05-09,2011-05-07,2011-05-09,return to school,Voluntarily Terminated,11,Billboard,Fully Meets,4,15425,11974,3288,6240,17212,6736,9558,18885,12345,5825,8469,12986,3,0.6666666666666666,0.75,0.005479452054794521,59,50-59
" Monkfish, Erasumus     ",1404066711,1,1,5,27.0,20,MA,1992-08-17,2011-07-11,,N/A - still employed,Active,14,Professional Society,Fully Meets,3,15430,10033,7051,9960,5100,19995,2769,11932,2944,6744,16704,7499,3,0.6666666666666666,0.5,13.183561643835617,32,30-39
" Harrison, Kara     ",1404066622,1,0,5,24.0,19,MA,1974-05-02,2014-12-05,,N/A - still employed,Active,11,Monster.com,Exceeds,4,10797,8566,15031,16745,4354,6679,14619,2532,1142,7461,1004,13516,4,1.0,0.75,9.778082191780822,50,50-59
" Beatrice, Courtney      ",1403066194,0,0,5,26.4,19,MA,1970-10-27,2011-04-04,,N/A - still employed,Active,16,Search Engine - Google Bing Yahoo,Fully Meets,5,11743,3728,1999,19931,5774,14353,10559,17370,19210,4734,7808,18776,3,0.6666666666666666,1.0,13.452054794520548,53,50-59
" Blount, Dianna     ",1403066125,0,0,5,32.4,20,MA,1990-09-21,2011-04-04,,N/A - still employed,Active,22,Monster.com,Needs Improvement,3,2674,13095,13276,12789,14354,2058,3469,17364,4980,2323,14217,1810,2,0.3333333333333333,0.5,13.452054794520548,34,30-39
" Cornett, Lisa      ",1403066069,1,0,5,18.9,19,MA,1977-03-31,2015-05-01,,N/A - still employed,Active,18,Billboard,Fully Meets,5,2166,17058,16790,11528,10364,11676,18903,2804,7158,5510,14492,3865,3,0.6666666666666666,1.0,9.375342465753425,47,40-49
" Ngodup, Shari      ",1403066020,0,0,5,18.0,19,MA,1967-06-03,2013-01-04,,N/A - still employed,Active,12,Diversity Job Fair,Exceeds,3,12613,14979,19813,5325,7318,12143,11554,8918,8829,5457,15589,15409,4,1.0,0.5,11.695890410958905,57,50-59
" Immediato, Walter     ",1403065874,1,1,5,42.0,18,MA,1976-11-15,2011-02-21,2012-09-24,unhappy,Voluntarily Terminated,2,Other,Needs Improvement,2,3385,14122,4456,7206,16349,15409,5281,9052,2844,13136,8412,19615,2,0.3333333333333333,0.25,1.5917808219178082,47,40-49
" Carter, Michelle      ",1403065721,0,0,6,55.0,3,VT,1963-05-15,2014-08-18,,N/A - still employed,Active,17,Billboard,Fully Meets,5,11071,18996,7827,19871,4512,10144,15381,8902,7513,8481,14971,12168,3,0.6666666666666666,1.0,10.076712328767123,61,60-69
" Robinson, Cherly     ",1403065625,1,0,5,19.2,19,MA,1985-01-07,2011-10-01,2016-05-17,attendance,Terminated for Cause,19,Glassdoor,Needs Improvement,3,18509,4177,2362,3699,12492,6777,5057,3364,3762,16728,8855,15919,2,0.3333333333333333,0.5,4.63013698630137,39,30-39
" Peterson, Ebonee       ",1402065355,1,0,5,38.5,18,MA,1977-05-09,2010-10-25,2016-05-18,Another position,Voluntarily Terminated,2,Internet Search,Fully Meets,5,14935,10492,15589,1175,11266,18884,2384,12899,1521,15735,4175,19706,3,0.6666666666666666,1.0,5.567123287671233,47,40-49
" Roberson, May     ",1402065340,0,0,5,31.2,20,MA,1981-09-05,2011-09-26,2011-10-22,return to school,Voluntarily Terminated,14,Search Engine - Google Bing Yahoo,Fully Meets,4,17542,2058,9963,12730,8739,9432,17168,16494,1049,14827,7618,12621,3,0.6666666666666666,0.75,0.07123287671232877,43,40-49
" Daneault, Lynn     ",1402065303,0,0,6,54.0,21,VT,1990-04-19,2014-05-05,,N/A - still employed,Active,15,Pay Per Click - Google,Fully Meets,4,1539,3433,14849,9179,5489,8342,17032,13265,9667,13940,13968,8815,3,0.6666666666666666,0.75,10.364383561643836,34,30-39
" Fancett, Nicole     ",1402065085,0,0,5,28.799999999999997,20,MA,1987-09-27,2014-02-17,,N/A - still employed,Active,39,Newspager/Magazine,Fully Meets,4,3297,4572,9660,5391,10485,17372,1001,19589,16847,11911,18451,5553,3,0.6666666666666666,0.75,10.575342465753424,36,30-39
" Exantus, Susan     ",1401064670,1,0,4,48.5,24,MA,1987-05-15,2011-02-05,2013-05-06,attendance,Terminated for Cause,10,Billboard,Needs Improvement,5,6612,12138,13553,17661,6316,7690,15452,13209,5894,11133,5459,2613,2,0.3333333333333333,1.0,2.249315068493151,37,30-39
" Terry, Sharlene      ",1401064637,0,0,6,55.0,3,OR,1965-05-07,2014-09-29,,N/A - still employed,Active,21,Monster.com,Fully Meets,3,14626,2192,8079,1443,12445,19224,16701,1153,15528,13525,1721,9869,3,0.6666666666666666,0.5,9.961643835616439,59,50-59
" Punjabhi, Louis       ",1401064562,0,1,5,16.0,19,MA,1961-06-19,2014-06-01,,N/A - still employed,Active,18,Employee Referral,Fully Meets,3,9302,19680,14048,9299,9218,11258,13684,17293,19047,13483,3901,19085,3,0.6666666666666666,0.5,10.29041095890411,63,60-69
" Maurice, Shana     ",1401064327,1,0,5,24.0,19,MA,1977-11-22,2011-05-31,,N/A - still employed,Active,14,Other,Fully Meets,4,19115,6131,6594,17777,1353,9663,4705,17724,9274,14933,18501,6084,3,0.6666666666666666,0.75,13.295890410958904,46,40-49
" Valentin,Jackie     ",1312063714,1,0,6,55.0,3,AZ,1991-05-23,2011-05-07,,N/A - still employed,Active,17,Other,Fully Meets,3,10339,8100,11556,16041,19899,5656,17625,12184,7009,12073,2309,18316,3,0.6666666666666666,0.5,13.361643835616439,33,30-39
" Goyal, Roxana     ",1312063675,1,0,5,28.799999999999997,19,MA,1974-10-09,2013-08-19,,N/A - still employed,Leave of Absence,20,On-campus Recruiting,Fully Meets,5,11870,11648,11399,16645,9136,7020,14762,12834,14543,8552,13638,5107,3,0.6666666666666666,1.0,11.073972602739726,49,40-49
" Barbara, Thomas     ",1312063507,1,1,5,22.0,19,MA,1974-02-21,2012-02-04,2012-09-19,unhappy,Voluntarily Terminated,20,Diversity Job Fair,Fully Meets,3,10444,13529,1869,8492,3833,13428,5329,7998,18446,6948,14356,12063,3,0.6666666666666666,0.5,0.6246575342465753,50,50-59
" Crimmings,   Jean     ",1311063172,0,0,5,23.7,19,MA,1987-04-10,2016-06-07,,N/A - Has not started yet,Future Start,22,Newspager/Magazine,Fully Meets,5,16741,5942,3883,3692,12732,11606,3598,9313,8066,19185,14677,3545,3,0.6666666666666666,1.0,8.271232876712329,37,30-39
" Carey, Michael       ",1311063114,0,1,5,20.0,19,MA,1983-02-02,2014-03-31,,N/A - still employed,Active,18,MBTA ads,Fully Meets,3,10620,17752,19095,9853,1651,14597,10582,6342,9901,18470,17729,18346,3,0.6666666666666666,0.5,10.46027397260274,41,40-49
" Kretschmer, John     ",1311062610,1,1,5,21.0,19,MA,1980-02-02,2011-10-01,,N/A - still employed,Active,12,Pay Per Click - Google,Fully Meets,3,15684,18473,16068,19619,15159,6559,4450,13930,11358,7722,9806,17435,3,0.6666666666666666,0.5,12.95890410958904,44,40-49
" Garcia, Raul     ",1309061015,0,1,5,19.0,19,MA,1985-09-15,2015-03-30,,N/A - still employed,Active,14,Employee Referral,Fully Meets,3,4209,3744,11680,17477,6736,16356,7269,15708,4360,2104,19114,18556,3,0.6666666666666666,0.5,9.463013698630137,39,30-39
" South, Joe     ",1308060959,0,1,3,53.0,28,CT,1965-09-09,2014-10-11,,N/A - still employed,Active,7,Employee Referral,Fully Meets,3,10565,6983,8915,16425,12213,6094,7712,1446,3579,4550,4183,11688,3,0.6666666666666666,0.5,9.92876712328767,59,50-59
" Mangal, Debbie     ",1308060754,1,0,5,27.599999999999998,19,MA,1974-11-07,2013-11-11,,N/A - still employed,Active,12,On-campus Recruiting,Fully Meets,3,7391,2444,19385,11696,2509,9257,14794,12962,14845,1500,13695,7846,3,0.6666666666666666,0.5,10.843835616438357,49,40-49
" Williams, Jacquelyn       ",1308060671,0,0,5,19.2,19,MA,1969-10-02,2012-09-01,2015-06-27,relocation out of area,Voluntarily Terminated,19,Diversity Job Fair,Fully Meets,4,3839,11601,14089,8354,14992,12676,3391,19781,6423,17276,4319,11386,3,0.6666666666666666,0.75,2.819178082191781,54,50-59
" Gerke, Melisa     ",1308060622,0,0,5,26.4,19,MA,1970-05-15,2011-07-11,2011-11-15,hours,Voluntarily Terminated,16,Diversity Job Fair,Fully Meets,4,2156,9587,15630,4754,16629,17881,7949,19804,18844,5811,8252,10225,3,0.6666666666666666,0.75,0.34794520547945207,54,50-59
" Sadki, Nore       ",1308060535,0,1,5,21.0,19,MA,1974-12-21,2009-05-01,2010-07-30,relocation out of area,Voluntarily Terminated,22,Word of Mouth,Fully Meets,5,6946,17145,9315,5179,3949,9801,4016,7730,17308,13228,7940,9463,3,0.6666666666666666,1.0,1.2465753424657535,49,40-49
" Billis, Helen     ",1308060366,1,0,5,19.2,19,MA,1989-09-01,2014-07-07,,N/A - still employed,Active,12,Professional Society,Exceeds,3,17286,14635,10209,3352,19672,16225,8241,14066,5106,6592,1384,17747,4,1.0,0.5,10.191780821917808,35,30-39
" Whittier, Scott     ",1307060212,0,1,5,23.0,19,MA,1987-05-24,2011-10-01,2011-05-15,hours,Voluntarily Terminated,39,Newspager/Magazine,Fully Meets,5,11396,2896,8726,17087,11953,2323,17879,3164,13559,11851,1053,7897,3,0.6666666666666666,1.0,-0.38082191780821917,37,30-39
" Ait Sidi, Karthikeyan        ",1307060199,1,1,3,62.0,27,MA,1975-05-05,2015-03-30,2016-06-16,career change,Voluntarily Terminated,4,Company Intranet - Partner,Fully Meets,3,8713,16056,3234,2209,4741,1309,6982,10832,16979,8375,5060,9012,3,0.6666666666666666,0.5,1.2164383561643837,49,40-49
